Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,1495.161,,,,,0.00830977358491,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1758.847,,,,,0.00979103773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1850.862,,,,,0.01137254716981,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1950.54,,,,,0.012408,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,1801.056,,,,,0.01496394339623,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2316.597,,,,,0.01574535849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,2088.351,,,,,0.01768301886792,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,230.257,,,,,0.00468413207547,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,244.699,,,,,0.00540577358491,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,266.75,,,,,0.00585594339623,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,306.423,,,,,0.00492509433962,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,312.509,,,,,0.00428750943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,334.674,,,,,0.00471837735849,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,338.562,,,,,0.00576379245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,429.706,,,,,0.0053659245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,397.881,,,,,0.00476818867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,423.515,,,,,0.00412686792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,382.488,,,,,0.00372650943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,449.25,,,,,0.00345690566038,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,496.788,,,,,0.0026001509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,577.474,,,,,0.00288967924528,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,136.356,,,,,0.00501786792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,126.092,,,,,0.00407020754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,222.895,,,,,0.00845733962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,346.136,,,,,0.00764541509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,416.039,,,,,0.00643873584906,,,,,,,FALSE
